room_name,region,location,room_availability_bs,price,rating,rating_count,transaction_count,tipe_kos,room_area,is_electricity,is_kamar_mandi_dalam,is_kloset_duduk,fac_keamanan,fac_sirkulasi_udara,fac_parkir_motor,fac_parkir_mobil,fac_ruang_bersama,fac_layanan_kebersihan,fac_area_jemur,is_full_furnished,fac_ac,fac_tv,fac_bantal,fac_cermin,fac_shower,fac_air_panas,fac_wifi,fac_kulkas,fac_dapur,fac_dispenser,fac_kipas_angin,fac_kursi,fac_guling,fac_wastafel,fac_ember_mandi,fac_mesin_cuci,fac_bak_mandi,is_discount
Kost Apik Beringin 37 Tipe A Cipayung Jakarta Timur,Jakarta Timur,Cipayung,1.00,775000.00,4.90,3.00,8.00,Kos Putra,80.00,1,1,0,1,1,1,0,0,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,1,0,0,1
Kost Apik BINUS Anggrek 46 Tipe A Kebon Jeruk Jakarta Barat,Jakarta Barat,Kebon Jeruk,0.00,927500.00,4.90,13.00,36.00,Kos Putra,9.00,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,0,1
Kost Apik BINUS Anggrek Tipe B Palmerah Jakarta Barat,Jakarta Barat,Palmerah,0.00,1070000.00,4.80,51.00,80.00,Kos Campur,6.00,1,0,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1
Kost Apik BINUS Anggrek Tipe C Palmerah Jakarta Barat,Jakarta Barat,Palmerah,0.00,1307500.00,4.80,4.00,6.00,Kos Campur,6.00,1,1,0,0,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1
Kost Apik Bright Tipe A Johar Baru Jakarta Pusat,Jakarta Pusat,Johar Baru,2.00,1313000.00,4.60,3.00,4.00,Kos Putri,9.00,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,1
Kost Apik Bright Tipe B Johar Baru Jakarta Pusat,Jakarta Pusat,Johar Baru,2.00,991000.00,4.60,9.00,13.00,Kos Putri,9.00,1,0,1,1,1,1,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,1,0,1,0,0,1
Kost Apik Bu Tomo Tipe A Makasar Jakarta Timur,Jakarta Timur,Makasar,0.00,799250.00,4.60,35.00,63.00,Kos Campur,6.25,1,0,0,0,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
Kost Apik Bugenvil Tipe B Kemayoran Jakarta Pusat,Jakarta Pusat,Kemayoran,1.00,1450000.00,4.40,4.00,7.00,Kos Campur,12.00,0,1,1,1,1,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,1,0,0,1
Kost Apik Bugenvil Tipe C Kemayoran Jakarta Pusat,Jakarta Pusat,Kemayoran,0.00,1355000.00,5.00,1.00,2.00,Kos Campur,9.00,0,1,1,1,1,1,0,1,0,1,1,1,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
Kost Apik Bugenvil Tipe F Kemayoran Jakarta Pusat,Jakarta Pusat,Kemayoran,3.00,1325000.00,4.80,3.00,9.00,Kos Campur,10.20,0,0,1,1,1,1,0,1,0,1,1,1,1,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1
Kost Apik Bugenvil Tipe G Kemayoran Jakarta Pusat,Jakarta Pusat,Kemayoran,0.00,1212500.00,4.90,6.00,18.00,Kos Campur,10.50,0,1,0,1,1,1,0,1,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
Kost Apik Bugenvil Tipe H Kemayoran Jakarta Pusat,Jakarta Pusat,Kemayoran,0.00,825000.00,5.00,1.00,14.00,Kos Campur,7.50,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1
